objeto,denominacao_objeto,classificacao
22969773,AMV 4_simples 1:14_ICG,MATERIAIS
23014983,Baixa materiais EE - Baixada,MATERIAIS
23025790,AMV 2 e 3_simples 1:14_CG,MATERIAIS
23028342,"0,81 Km - bitola mista - L01 Quil. e IBA",MATERIAIS
23031159,"0,81 Km - bitola mista - L01 Quil. e IBA",MATERIAIS
23031186,"0,81 Km - bitola mista - L01 Quil. e IBA",MATERIAIS
23031268,"0,226 Km - bitola larga - L13 Piaçaguera",MATERIAIS
23031269,"0,226 Km - bitola larga - L13 Piaçaguera",MATERIAIS
23031270,"0,226 Km - bitola larga - L13 Piaçaguera",MATERIAIS
23031305,"bloco novembro- 3,01 Km - L14 ISN+L1 IBA",MATERIAIS
23031693,"bloco novembro- 3,01 Km - L14 ISN+L1 IBA",MATERIAIS
23031698,"bloco dezembro - 1,83 Km - L14 ISN",MATERIAIS
23041408,AMV 1_Travessão Areais_Misto 1:10 E1E,MATERIAIS
23044098,AMV 206 - simples 1:10,MATERIAIS
23044572,AMV CM010A - simples 1:10,MATERIAIS
23048018,Ajuste+solda redução+qt. extra consumida,MATERIAIS
23048254,AMV 98 simples 1:10,MATERIAIS
23048430,AMV 100 simples 1:10,MATERIAIS
23052787,AMV CM3A (303) misto D1D 1:10 AMV novo p,MATERIAIS
23052890,Baixa EE - Interf. Quilombo,SERVIÇOS
23052893,AMV 11 e 12_simples 1:14_CG,MATERIAIS
23053121,"Blocos, previsto 10/2025 +aplicado",MATERIAIS
23053158,Baixa EE - Sin. Prainha,MATERIAIS
23053174,Baixa EE - Sin. Quilombo,SERVIÇOS
23056121,lastro CG 10/2025,MATERIAIS
23057370,AMV 4_misto 1:10_Travessão de Areais,MATERIAIS
23057567,AMV 1 e 2_simples 1:14 Aparecida,MATERIAIS
23070545,BDA 507 - PN IRMÃ DOLORES,SERVIÇOS
23070584,BDA 508 - PN OSCARLINO M. TEIXEIRA,SERVIÇOS
23085942,SOLDA ALUMINOTÉRMICA,SERVIÇOS
23086100,SOLDA ALUMINOTÉRMICA,SERVIÇOS
23086323,SOLDA ALUMINOTÉRMICA,SERVIÇOS
23086326,SOLDA ALUMINOTÉRMICA,SERVIÇOS
23113805,Dormentes emplacados,MATERIAIS
23126148,Linha corrida_aço,MATERIAIS
23130336,Brita,MATERIAIS
23130339,Trilho,MATERIAIS
23130565,AMV 5 e 6_simples 1:14_CG,MATERIAIS
23132022,Brita,MATERIAIS
23132049,Trilhos,MATERIAIS
23132050,Blocos 11/2025,MATERIAIS
23132067,AMV 2_misto 1:10_Travessão de Areais,MATERIAIS
23132150,AMV 3_misto 1:10_Travessão de Areais,MATERIAIS
23132151,Blocos Jurubatuba 11/2025,MATERIAIS
23134212,"bloco dezembro - 0,12 Km - L13 IPG",MATERIAIS
23134214,"bloco novembro - 3,01 Km - L14 ISN (1,93",MATERIAIS
23134215,"bloco novembro - 3,01 Km - L14 ISN (1,93",MATERIAIS
23135193,"bloco novembro - 3,01 Km - L14 ISN (1,93",MATERIAIS
23135195,"bloco novembro - 3,01 Km - L14 ISN (1,93",MATERIAIS
23135247,AMV 26N_misto 1:14 D1E,MATERIAIS
23135256,AMV 28S_misto 1:14 E1D,MATERIAIS
23135257,AMV 28N_misto 1:14 E1E,MATERIAIS
23135259,AMV 26S_misto 1:14 D1D,MATERIAIS
23135281,AMV 101=30B_misto 1:10 E1E,MATERIAIS
23135282,AMV 90_misto 1:10 E1D,MATERIAIS
23135286,AMV 300_misto 1:14 E1D,MATERIAIS
23135287,AMV 102_misto 1:10 D1D,MATERIAIS
23135288,Bica corrida e rachão,MATERIAIS
23135290,Blocos janeiro 2026_1 Km ISN,MATERIAIS
23135291,"Blocos janeiro 2026_2,65 Km Túnel",MATERIAIS
23135292,Blocos Fevereiro 2026_1 Km IFA,MATERIAIS
23147596,SOLDA ELÉTRICA - DIPO,SERVIÇOS
23149160,SOLDA ELÉTRICA - DIPO,SERVIÇOS
23152662,SOLDA ELÉTRICA - DIPO CAMPO GRANDE,SERVIÇOS
23152867,SOLDA ELÉTRICA - DIPO CAMPO GRANDE,SERVIÇOS
23152911,SOLDA ELÉTRICA - DIPO CAMPO GRANDE,SERVIÇOS
23152916,SOLDA ELÉTRICA - DIPO CAMPO GRANDE,SERVIÇOS
23153002,SOLDA ELÉTRICA - DIPO CAMPO GRANDE,SERVIÇOS
23153005,SOLDA ELÉTRICA - DIPO CAMPO GRANDE,SERVIÇOS
23153038,SOLDA ELÉTRICA - DIPO CAMPO GRANDE,SERVIÇOS
23153046,SOLDA ELÉTRICA - DIPO CAMPO GRANDE,SERVIÇOS
23153081,SOLDA ELÉTRICA - DIPO CAMPO GRANDE,SERVIÇOS
23153089,SOLDA ELÉTRICA - DIPO CAMPO GRANDE,SERVIÇOS
23153099,SOLDA ELÉTRICA - DIPO CAMPO GRANDE,SERVIÇOS
23153185,SOLDA ELÉTRICA DIPO CAMPO GRANDE,SERVIÇOS
23153188,SOLDA ELÉTRICA DIPO CAMPO GRANDE,SERVIÇOS
23153189,SOLDA ELÉTRICA DIPO CAMPO GRANDE,SERVIÇOS
23153240,SOLDA ELÉTRICA DIPO CAMPO GRANDE,SERVIÇOS
23153241,SOLDA ELÉTRICA DIPO CAMPO GRANDE,SERVIÇOS
23153242,SOLDA ELÉTRICA DIPO CAMPO GRANDE,SERVIÇOS
23153244,SOLDA ELÉTRICA DIPO CAMPO GRANDE,SERVIÇOS
23153246,SOLDA ELÉTRICA DIPO CAMPO GRANDE,SERVIÇOS
23153308,SOLDA ELÉTRICA DIPO CAMPO GRANDE,SERVIÇOS
23167591,Baixa materiais EE - Interf. São Bento,SERVIÇOS
23168583,SOLDA ALUMINOTÉRMICA,SERVIÇOS
23173766,BAIXA LASTRO INFRA,MATERIAIS
23173875,Blocos montados 12/2025,MATERIAIS
23173893,Brita 11 e 12/2025,MATERIAIS
23173894,blocos montados 12/2025,MATERIAIS
23173895,blocos montados 11/2025,MATERIAIS
23177284,SOLDA ALUMINOTÉRMICA,SERVIÇOS
23180070,SOLDA ALUMINOTÉRMICA,SERVIÇOS
23180072,SOLDA ALUMINOTÉRMICA,SERVIÇOS
23183724,Blocos Jurubatuba 12/2025,MATERIAIS
23184159,Baixa materiais EE - Pátio Aparecida,SERVIÇOS
23184183,AMV 86_misto 1:10,MATERIAIS
23184340,AMVs 196 e 198_simples 1:10,MATERIAIS
